	x	y
1213EryMaiAwalde	38.46	16.64
1214EryMaiAwalde	38.46	16.64
1215EryMaiAwalde	38.46	16.64
1216EryMaiAwalde	38.46	16.64
1217EryAdiGuergish	39.06	16.14
1218EryMaiAwalde	38.46	16.64
1219EryMaiAwalde	38.46	16.64
1220EryMaiAwalde	38.46	16.64
1303BeAttogon	2.17	6.70
1325EthioEdogojela	38.72	7.98
1326EthioAliweyo	38.67	7.41
1327EthioAliweyo	38.67	7.41
1328EthioElalakorke	38.65	7.28
1329EthioAdulata	39.29	8.48
1330EthioWachucafa	39.35	8.59
1331EthioAbinea	38.72	7.96
1332EthioDereba	38.55	7.17
1333EthioKersa	38.66	7.33
1334EthioKorikedi	38.72	8.11
1335EthioWacho	38.80	8.13
1336EthioAliweyo	38.67	7.41
1337EthioAliweyo	38.67	7.41
1338EthioElalakorke	38.65	7.28
1339EthioDereba	38.55	7.17
1340EthioKersa	38.66	7.33
1341EthioWacho	38.80	8.13
1414EthioAliweyo	38.67	7.41
1415EthioElalakorke	38.65	7.28
1416EthioDereba	38.55	7.17
1447AfSCarltonville	27.37	-26.33
1448AfSCedara	30.33	-29.62
1449AfSCedara	30.33	-29.62
1450AfSCedara	30.33	-29.62
1451AfSCedara	30.33	-29.62
1669CamBilikBindzik	11.2974	4.301866667
1670CamBinshua	10.737333	6.54725
1671CamKaiy	10.73465	6.2857
1672CamKikaikilaiki	10.694633	6.268333
1673CamKitiwum	10.7317	6.2489333
1674CamMah	10.726916667	6.2914
1675CamNjavnyuy	10.6726333	6.193566667
1676CamNkar	10.63693333	6.103466667
1677CamNkolmelen	11.52246667	4.12843333
1678CamNkometou	11.598416667	4.928
1679CamNtongee	10.7057	6.280866667
1680CamTakui	10.45186	6.270616667
1681CamTatum	10.76135	6.33085
1682CamTakui	10.45186	6.270616667
1683CamWainama	10.60693333	6.8
1684CamBali	9.9714333	5.8605833
1685CamBali	9.96756667	5.859
1686CamBali	9.97978333	5.86195
1687CamBinshua	10.737333	6.54725
1688CamBinshua	10.737333	6.54725
1689CamBinshua	10.737333	6.54725
1690CamKaiy	10.73465	6.2857
1698CamKitiwum	10.7317	6.2489333
1699CamKitiwum	10.7317	6.2489333
1700CamKitiwum	10.73618333	6.2485
1701CamKitiwum	10.73618333	6.2485
1702CamMah	10.726916667	6.2914
1703CamMah	10.726916667	6.2914
1704CamMah	10.7272333	6.31775
1705CamNjavnyuy	10.6726333	6.193566667
1706CamNjavnyuy	10.6726333	6.193566667
1707CamNkar	10.63693333	6.103466667
1708CamNtongee	10.7057	6.280866667
1709CamTakui	10.45186	6.270616667
1710CamTatum	10.76135	6.33085
1711CamTatum	10.76135	6.33085
1712CamTakui	10.45186	6.270616667
1713CamTakui	10.45186	6.270616667
1714CamBinshua	10.737333	6.54725
1715CamMah	10.726916667	6.2914
1716CamNtongee	10.7057	6.280866667
1758CamKitiwum	10.7317	6.2489333
1759CamNkometouIII	11.5930333	4.88983333
1760CamNtongee	10.7057	6.280866667
1761CamTakui	10.45186	6.270616667
1762CamTakui	10.45186	6.270616667
1763CamKaiy	10.73465	6.2857
1764CamKaiy	10.73465	6.2857
1765CamMah	10.72685	6.31948333
1766CamKikaikilaiki	10.694633	6.268333
1767CamKikaikilaiki	10.694633	6.2703
1768CamMah	10.7315	6.31608333
1769CamMah	10.726916667	6.2914
1770CamKaiy	10.7489	6.294833
1771CamKaiy	10.7489	6.294833
1772CamKaiy	10.7489	6.294833
1773CamTatum	10.76135	6.33085
1774CamKikaikilaiki	10.694633	6.268333
1775CamKikaikilaiki	10.694633	6.2703
1776CamKaiy	10.73465	6.2857
1777CamKaiy	10.73465	6.2857
1778CamNtongee	10.7057	6.280866667
1779CamKitiwum	10.7317	6.2489333
1780CamKikaikilaiki	10.694633	6.2703
1781CamKikaikilaiki	10.694633	6.268333
1782CamKikaikilaiki	10.69495	6.2697
1783CamKikaikilaiki	10.694633	6.2703
1784CamKikaikilaiki	10.694633	6.268333
1785CamKikaikilaiki	10.694633	6.268333
1786CamNkometou	11.591266667	4.697
1803KKakamega	34.90	0.23
1816CamKaiy	10.7489	6.294833
1817CamTakui	10.45186	6.270616667
1818CamTakui	10.45186	6.270616667
1819CamMah	10.7315	6.31608333
1820CamMah	10.726916667	6.2914
1821CamKikaikilaiki	10.694633	6.268333
1822CamKikaikilaiki	10.69495	6.2697
1823CamNkometouIII	11.5864333	4.89366667
1824CamKitiwum	10.7317	6.2489333
1825CamKitiwum	10.7317	6.2489333
1826CamKitiwum	10.731716667	6.2489333
1827CamKaiy	10.73465	6.2857
1828CamKaiy	10.73465	6.2857
1829CamBinshua	10.737333	6.54725
1830CamKitiwum	10.731716667	6.2489333
1831CamKitiwum	10.7317	6.2489333
1832CamBinshua	10.737333	6.54725
1833CamKaiy	10.7489	6.294833
1834CamKaiy	10.73465	6.2857
1835CamKikaikilaiki	10.694633	6.268333
1836CamKikaikilaiki	10.694633	6.268333
1837CamTatum	10.76135	6.33085
1838CamTatum	10.76135	6.33085
1839CamKitiwum	10.7317	6.2489333
1840CamKitiwum	10.731716667	6.2489333
1841CamMah	10.726916667	6.2914
